money,coffee_name
38.7,Latte
38.7,Hot Chocolate
38.7,Hot Chocolate
28.9,Americano
38.7,Latte
33.8,Americano with Milk
38.7,Hot Chocolate
33.8,Americano with Milk
38.7,Cocoa
33.8,Americano with Milk
33.8,Americano with Milk
28.9,Americano
33.8,Americano with Milk
33.8,Americano with Milk
28.9,Americano
33.8,Americano with Milk
28.9,Americano
38.7,Latte
28.9,Cortado
28.9,Americano
38.7,Hot Chocolate
38.7,Cocoa
28.9,Cortado
33.8,Americano with Milk
33.8,Americano with Milk
38.7,Hot Chocolate
38.7,Latte
38.7,Latte
33.8,Americano with Milk
24,Espresso
38.7,Latte
38.7,Latte
38.7,Latte
38.7,Hot Chocolate
38.7,Cocoa
38.7,Hot Chocolate
38.7,Hot Chocolate
28.9,Cortado
38.7,Hot Chocolate
28.9,Americano
28.9,Cortado
38.7,Cappuccino
38.7,Cappuccino
38.7,Hot Chocolate
38.7,Latte
28.9,Americano
33.8,Americano with Milk
28.9,Cortado
38.7,Cappuccino
28.9,Americano
28.9,Americano
28.9,Americano
33.8,Americano with Milk
38.7,Latte
38.7,Latte
24,Espresso
28.9,Americano
38.7,Cappuccino
28.9,Americano
28.9,Americano
38.7,Latte
33.8,Americano with Milk
28.9,Cortado
38.7,Cappuccino
33.8,Americano with Milk
38.7,Hot Chocolate
38.7,Cappuccino
38.7,Hot Chocolate
24,Espresso
38.7,Latte
28.9,Cortado
38.7,Cappuccino
28.9,Americano
38.7,Latte
28.9,Cortado
28.9,Americano
28.9,Cortado
38.7,Hot Chocolate
33.8,Americano with Milk
28.9,Americano
28.9,Americano
38.7,Hot Chocolate
28.9,Americano
28.9,Americano
28.9,Americano
33.8,Americano with Milk
24,Espresso
24,Espresso
24,Espresso
38.7,Latte
38.7,Hot Chocolate
28.9,Cortado
28.9,Americano
33.8,Americano with Milk
24,Espresso
38.7,Latte
33.8,Americano with Milk
24,Espresso
38.7,Hot Chocolate
28.9,Cortado
38.7,Hot Chocolate
28.9,Americano
33.8,Americano with Milk
28.9,Americano
28.9,Cortado
28.9,Cortado
28.9,Cortado
33.8,Americano with Milk
28.9,Cortado
28.9,Cortado
28.9,Americano
28.9,Americano
28.9,Americano
38.7,Latte
38.7,Latte
38.7,Hot Chocolate
33.8,Americano with Milk
28.9,Cortado
28.9,Cortado
38.7,Cappuccino
38.7,Cocoa
38.7,Latte
28.9,Cortado
38.7,Cappuccino
28.9,Cortado
38.7,Latte
33.8,Americano with Milk
33.8,Americano with Milk
28.9,Americano
24,Espresso
28.9,Americano
38.7,Latte
33.8,Americano with Milk
38.7,Cappuccino
38.7,Cocoa
33.8,Americano with Milk
38.7,Latte
33.8,Americano with Milk
28.9,Cortado
38.7,Latte
38.7,Latte
38.7,Latte
38.7,Latte
33.8,Americano with Milk
38.7,Cappuccino
38.7,Cocoa
38.7,Latte
38.7,Latte
28.9,Cortado
28.9,Americano
28.9,Cortado
28.9,Cortado
28.9,Americano
38.7,Latte
38.7,Latte
38.7,Hot Chocolate
28.9,Cortado
33.8,Americano with Milk
33.8,Americano with Milk
38.7,Hot Chocolate
38.7,Cappuccino
28.9,Americano
28.9,Cortado
28.9,Cortado
28.9,Cortado
28.9,Americano
38.7,Latte
38.7,Latte
38.7,Cappuccino
38.7,Cappuccino
38.7,Latte
38.7,Latte
38.7,Latte
33.8,Americano with Milk
38.7,Cappuccino
28.9,Americano
33.8,Americano with Milk
33.8,Americano with Milk
33.8,Americano with Milk
33.8,Americano with Milk
38.7,Hot Chocolate
38.7,Latte
28.9,Americano
28.9,Cortado
28.9,Cortado
28.9,Americano
38.7,Cappuccino
38.7,Latte
38.7,Latte
38.7,Cappuccino
28.9,Cortado
28.9,Americano
28.9,Americano
28.9,Cortado
33.8,Americano with Milk
38.7,Latte
28.9,Cortado
24,Espresso
33.8,Americano with Milk
38.7,Cappuccino
28.9,Americano
38.7,Latte
38.7,Latte
38.7,Cappuccino
38.7,Cappuccino
28.9,Cortado
24,Espresso
38.7,Hot Chocolate
33.8,Americano with Milk
33.8,Americano with Milk
38.7,Cappuccino
28.9,Americano
38.7,Cappuccino
38.7,Latte
28.9,Americano
33.8,Americano with Milk
38.7,Cappuccino
38.7,Latte
38.7,Hot Chocolate
38.7,Hot Chocolate
24,Espresso
38.7,Cappuccino
38.7,Latte
28.9,Americano
28.9,Americano
38.7,Latte
38.7,Cappuccino
33.8,Americano with Milk
38.7,Hot Chocolate
28.9,Cortado
38.7,Latte
28.9,Americano
38.7,Cappuccino
38.7,Latte
38.7,Cappuccino
38.7,Cappuccino
38.7,Cappuccino
28.9,Cortado
28.9,Americano
28.9,Americano
28.9,Americano
38.7,Cappuccino
28.9,Cortado
38.7,Latte
38.7,Cappuccino
28.9,Americano
28.9,Americano
33.8,Americano with Milk
33.8,Americano with Milk
33.8,Americano with Milk
38.7,Cocoa
28.9,Cortado
28.9,Americano
33.8,Americano with Milk
38.7,Cappuccino
38.7,Cocoa
28.9,Americano
24,Espresso
38.7,Cappuccino
38.7,Cappuccino
28.9,Cortado
28.9,Americano
28.9,Americano
33.8,Americano with Milk
28.9,Cortado
38.7,Cappuccino
38.7,Latte
38.7,Latte
38.7,Cappuccino
38.7,Hot Chocolate
38.7,Hot Chocolate
38.7,Latte
33.8,Americano with Milk
38.7,Cappuccino
38.7,Hot Chocolate
38.7,Cappuccino
38.7,Cocoa
33.8,Americano with Milk
33.8,Americano with Milk
33.8,Americano with Milk
28.9,Americano
33.8,Americano with Milk
38.7,Hot Chocolate
38.7,Cappuccino
33.8,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Cappuccino
37.72,Cappuccino
37.72,Latte
37.72,Latte
27.92,Americano
27.92,Americano
32.82,Americano with Milk
37.72,Latte
37.72,Cappuccino
32.82,Americano with Milk
37.72,Cappuccino
