date,state,county,stay_home,not_stay_home
2020-01-02,WA,King County,"481,536","1,771,246"
2020-01-03,WA,King County,"478,796","1,773,986"
2020-01-04,WA,King County,"524,217","1,728,565"
2020-01-05,WA,King County,"577,369","1,675,413"
2020-01-06,WA,King County,"499,565","1,753,217"
2020-01-07,WA,King County,"465,704","1,787,078"
2020-01-08,WA,King County,"459,785","1,792,997"
2020-01-09,WA,King County,"462,586","1,790,196"
2020-01-10,WA,King County,"456,392","1,796,390"
2020-01-11,WA,King County,"511,290","1,741,492"
2020-01-12,WA,King County,"559,892","1,692,890"
2020-01-13,WA,King County,"541,197","1,711,585"
2020-01-14,WA,King County,"563,078","1,689,704"
2020-01-15,WA,King County,"513,996","1,738,786"
2020-01-16,WA,King County,"461,390","1,791,392"
2020-01-17,WA,King County,"452,896","1,799,886"
2020-01-18,WA,King County,"503,603","1,749,179"
2020-01-19,WA,King County,"551,242","1,701,540"
2020-01-20,WA,King County,"508,769","1,744,013"
2020-01-21,WA,King County,"468,027","1,784,755"
2020-01-22,WA,King County,"446,863","1,805,919"
2020-01-23,WA,King County,"465,907","1,786,875"
2020-01-24,WA,King County,"453,926","1,798,856"
2020-01-25,WA,King County,"498,915","1,753,867"
2020-01-26,WA,King County,"533,886","1,718,896"
2020-01-27,WA,King County,"473,964","1,778,818"
2020-01-28,WA,King County,"464,703","1,788,079"
2020-01-29,WA,King County,"470,757","1,782,025"
2020-01-30,WA,King County,"458,873","1,793,909"
2020-01-31,WA,King County,"442,462","1,810,320"
2020-02-01,WA,King County,"489,817","1,762,965"
2020-02-02,WA,King County,"528,321","1,724,461"
2020-02-03,WA,King County,"465,047","1,787,735"
2020-02-04,WA,King County,"456,319","1,796,463"
2020-02-05,WA,King County,"461,117","1,791,665"
2020-02-06,WA,King County,"459,205","1,793,577"
2020-02-07,WA,King County,"450,758","1,802,024"
2020-02-08,WA,King County,"497,254","1,755,528"
2020-02-09,WA,King County,"569,884","1,682,898"
2020-02-10,WA,King County,"460,962","1,791,820"
2020-02-11,WA,King County,"434,429","1,818,353"
2020-02-12,WA,King County,"440,650","1,812,132"
2020-02-13,WA,King County,"439,665","1,813,117"
2020-02-14,WA,King County,"421,044","1,831,738"
2020-02-15,WA,King County,"486,667","1,766,115"
2020-02-16,WA,King County,"519,380","1,733,402"
2020-02-17,WA,King County,"623,485","1,629,297"
2020-02-18,WA,King County,"456,279","1,796,503"
2020-02-19,WA,King County,"437,134","1,815,648"
2020-02-20,WA,King County,"445,147","1,807,635"
2020-02-21,WA,King County,"443,499","1,809,283"
2020-02-22,WA,King County,"433,342","1,819,440"
2020-02-23,WA,King County,"536,455","1,716,327"
2020-02-24,WA,King County,"470,516","1,782,266"
2020-02-25,WA,King County,"462,721","1,790,061"
2020-02-26,WA,King County,"366,740","1,886,042"
2020-02-27,WA,King County,"443,513","1,809,269"
2020-02-28,WA,King County,"447,128","1,805,654"
2020-02-29,WA,King County,"478,682","1,774,100"
2020-03-01,WA,King County,"512,384","1,740,398"
2020-03-02,WA,King County,"495,716","1,757,066"
2020-03-03,WA,King County,"460,575","1,792,207"
2020-03-04,WA,King County,"467,430","1,785,352"
2020-03-05,WA,King County,"446,292","1,806,490"
2020-03-06,WA,King County,"461,677","1,791,105"
2020-03-07,WA,King County,"487,925","1,764,857"
2020-03-08,WA,King County,"538,986","1,713,796"
2020-03-09,WA,King County,"505,763","1,747,019"
2020-03-10,WA,King County,"494,924","1,757,858"
2020-03-11,WA,King County,"421,048","1,831,734"
2020-03-12,WA,King County,"439,571","1,813,211"
2020-03-13,WA,King County,"438,278","1,814,504"
2020-03-14,WA,King County,"512,484","1,740,298"
2020-03-15,WA,King County,"665,507","1,587,275"
2020-03-16,WA,King County,"606,145","1,646,637"
2020-03-17,WA,King County,"669,755","1,583,027"
2020-03-18,WA,King County,"707,440","1,545,342"
2020-03-19,WA,King County,"717,786","1,534,996"
2020-03-20,WA,King County,"722,081","1,530,701"
2020-03-21,WA,King County,"761,634","1,491,148"
2020-03-22,WA,King County,"727,868","1,524,914"
2020-03-23,WA,King County,"679,655","1,573,127"
2020-03-24,WA,King County,"697,236","1,555,546"
2020-03-25,WA,King County,"707,291","1,545,491"
2020-03-26,WA,King County,"733,533","1,519,249"
2020-03-27,WA,King County,"730,275","1,522,507"
2020-03-28,WA,King County,"753,092","1,499,690"
2020-03-29,WA,King County,"776,937","1,475,845"
2020-03-30,WA,King County,"716,215","1,536,567"
2020-03-31,WA,King County,"728,463","1,524,319"
2020-04-01,WA,King County,"723,009","1,529,773"
2020-04-02,WA,King County,"713,566","1,539,216"
2020-04-03,WA,King County,"711,289","1,541,493"
2020-04-04,WA,King County,"742,943","1,509,839"
2020-04-05,WA,King County,"771,292","1,481,490"
2020-04-06,WA,King County,"738,584","1,514,198"
2020-04-07,WA,King County,"725,833","1,526,949"
2020-04-08,WA,King County,"717,577","1,535,205"
2020-04-09,WA,King County,"725,449","1,527,333"
2020-04-10,WA,King County,"699,282","1,553,500"
2020-04-11,WA,King County,"732,728","1,520,054"
2020-04-12,WA,King County,"805,145","1,447,637"
2020-04-13,WA,King County,"739,611","1,513,171"
2020-04-14,WA,King County,"662,754","1,590,028"
2020-04-15,WA,King County,"641,016","1,611,766"
2020-04-16,WA,King County,"669,371","1,583,411"
2020-04-17,WA,King County,"622,045","1,630,737"
2020-04-18,WA,King County,"685,197","1,567,585"
2020-04-19,WA,King County,"690,607","1,562,175"
2020-04-20,WA,King County,"612,936","1,639,846"
2020-04-21,WA,King County,"709,372","1,543,410"
2020-04-22,WA,King County,"714,164","1,538,618"
2020-04-23,WA,King County,"708,054","1,544,728"
2020-04-24,WA,King County,"697,324","1,555,458"
2020-04-25,WA,King County,"732,888","1,519,894"
2020-04-26,WA,King County,"752,480","1,500,302"
2020-04-27,WA,King County,"707,832","1,544,950"
2020-04-28,WA,King County,"699,149","1,553,633"
2020-04-29,WA,King County,"705,373","1,547,409"
2020-04-30,WA,King County,"693,328","1,559,454"
2020-05-01,WA,King County,"677,554","1,575,228"
2020-05-02,WA,King County,"727,538","1,525,244"
2020-05-03,WA,King County,"745,376","1,507,406"
2020-05-04,WA,King County,"696,278","1,556,504"
2020-05-05,WA,King County,"694,655","1,558,127"
2020-05-06,WA,King County,"693,701","1,559,081"
2020-05-07,WA,King County,"676,482","1,576,300"
2020-05-08,WA,King County,"675,812","1,576,970"
2020-05-09,WA,King County,"686,079","1,566,703"
2020-05-10,WA,King County,"698,844","1,553,938"
2020-05-11,WA,King County,"628,281","1,624,501"
2020-05-12,WA,King County,"619,973","1,632,809"
2020-05-13,WA,King County,"632,547","1,620,235"
2020-05-14,WA,King County,"623,616","1,629,166"
2020-05-15,WA,King County,"612,365","1,640,417"
2020-05-16,WA,King County,"662,683","1,590,099"
2020-05-17,WA,King County,"632,294","1,620,488"
2020-05-18,WA,King County,"560,719","1,692,063"
2020-05-19,WA,King County,"550,757","1,702,025"
2020-05-20,WA,King County,"556,084","1,696,698"
2020-05-21,WA,King County,"550,073","1,702,709"
2020-05-22,WA,King County,"510,846","1,741,936"
2020-05-23,WA,King County,"562,858","1,689,924"
2020-05-24,WA,King County,"648,892","1,603,890"
2020-05-25,WA,King County,"664,677","1,588,105"
2020-05-26,WA,King County,"610,716","1,642,066"
2020-05-27,WA,King County,"606,604","1,646,178"
2020-05-28,WA,King County,"605,369","1,647,413"
2020-05-29,WA,King County,"630,339","1,622,443"
2020-05-30,WA,King County,"694,451","1,558,331"
2020-05-31,WA,King County,"692,016","1,560,766"
2020-06-01,WA,King County,"626,308","1,626,474"
2020-06-02,WA,King County,"639,098","1,613,684"
2020-06-03,WA,King County,"601,942","1,650,840"
2020-06-04,WA,King County,"603,681","1,649,101"
