OBJECTID,GEOID,Tract Label,Tract Name,Community Reporting Area Name,Community Reporting Area ID,Year,Tract Median Apartment Contract Rent per Square Foot,Tract Median Apartment Contract Rent per Unit,Year over Year Change in Rent per Square Foot,Year over Year Change in Rent per Unit,Cost Category,Year over Year Change in Rent Category,Mixed-Rate or Mixed-Income Apartment in Tract,Level of Concern,PROPERTIES,Shape__Area,Shape__Length
1,53033001201,12.01,Census Tract 12.01,Northgate/Maple Leaf,8.1,2001,1.51,1073,0.055944056,0.051960784,Low,Stable,1209,,21,10851861.64,15899.77334
2,53033000404,4.04,Census Tract 4.04,Broadview/Bitter Lake,9.1,2001,1.29,1043,0.040322581,0.041958042,Low,Stable,454,,7,6791652.724,12962.55841
3,53033004901,49.01,Census Tract 49.01,Fremont,11.1,2001,1.78,1059,0.047058824,0.052683897,Medium,Stable,977,,106,5350888.215,9379.655767
4,53033003601,36.01,Census Tract 36.01,Green Lake,9.4,2001,2.1,1202,0.055276382,0.055311677,Medium,Stable,412,,34,7255879.068,11894.28889
5,53033002800,28,Census Tract 28,Greenwood/Phinney Ridge,9.3,2001,1.59,998,0.052980132,0.052742616,Low,Stable,290,,31,10637151.82,13201.3113
6,53033003100,31,Census Tract 31,Sunset Hill/Loyal Heights,10.3,2001,1.33,917,0.055555556,0.052812859,Low,Stable,107,,14,23137464.05,24704.5678
7,53033006400,64,Census Tract 64,Miller Park,6.4,2001,1.78,1501,0.053254438,0.054073034,High,Stable,103,,5,9726351.904,13186.77018
8,53033004301,43.01,Census Tract 43.01,Ravenna/Bryant,7.3,2001,2.64,1701,0.051792829,0.051297899,High,Stable,69,,8,10539780.57,17192.70375
9,53033002500,25,Census Tract 25,Ravenna/Bryant,7.3,2001,0,0,0,0,,,0,,0,10594634.3,16442.96859
10,53033002200,22,Census Tract 22,Wedgwood/View Ridge,7.4,2001,1.95,1663,0.048387097,0.051201011,High,Stable,73,,5,30127208.02,28505.80679
11,53033004000,40,Census Tract 40,Laurelhurst/Sand Point,7.5,2001,1.31,884,0.056451613,0.054892601,Low,Stable,54,,2,26374983.68,27560.01384
12,53033005804,58.04,Census Tract 58.04,Interbay,12.2,2001,1.92,1279,0.049180328,0.047502048,Medium,Stable,572,,34,25124062.74,48668.27224
13,53033006800,68,Census Tract 68,Queen Anne,12.3,2001,2.53,1689,0.049792531,0.051681196,High,Stable,234,,23,7729250.272,11275.37735
14,53033008102,81.02,Census Tract 81.02,Downtown Commercial Core,13.2,2001,3.3,2889,0.054313099,0.052842566,High,Stable,173,,5,5987812.086,14339.99503
15,53033008101,81.01,Census Tract 81.01,Downtown Commercial Core,13.2,2001,1.69,1478,0.05625,0.06025825,Medium,Stable,885,,5,2992165.479,11427.14676
16,53033007902,79.02,Census Tract 79.02,Central Area/Squire Park,5.3,2001,1.9,1293,0.049723757,0.052074858,Medium,Stable,176,,13,4641637.8,9715.120877
17,53033007302,73.02,Census Tract 73.02,Cascade/Eastlake,11.3,2001,2.66,2151,0.047244094,0.048245614,High,Stable,663,,4,3368769.265,7802.426354
18,53033007101,71.01,Census Tract 71.01,Queen Anne,12.3,2001,2.24,1491,0.051643192,0.051480959,High,Stable,370,,13,5328474.607,9004.947227
19,53033009300,93,Census Tract 93,Duwamish/SODO,3.3,2001,2.08,1494,0.050505051,0.052854123,High,Stable,261,,10,102171584.8,53946.37345
20,53033010502,105.02,Census Tract 105.02,West Seattle Junction/Genesee Hill,1.3,2001,1.72,1165,0.055214724,0.052393857,Medium,Stable,379,,22,10504351.34,14546.13624
21,53033010001,100.01,Census Tract 100.01,North Beacon Hill/Jefferson Park,3.6,2001,1.87,1189,0.050561798,0.052212389,Medium,Stable,198,,16,25052474.61,25628.92453
22,53033009801,98.01,Census Tract 98.01,West Seattle Junction/Genesee Hill,1.3,2001,2.04,1371,0.051546392,0.051380368,High,Stable,219,,19,10814248.94,13291.54908
23,53033008900,89,Census Tract 89,Madrona/Leschi,5.1,2001,2.18,1506,0.048076923,0.051675978,High,Stable,234,,15,13690717.17,19328.7464
24,53033026300,263,Census Tract 263,Rainier Beach,4.1,2001,0,0,0,0,,,0,,0,30724.63332,954.0480244
25,53033012000,120,Census Tract 120,Arbor Heights,1.1,2001,0,0,0,0,,,0,,0,15560990.44,16787.97428
26,53033011101,111.01,Census Tract 111.01,Columbia City,4.2,2001,1.84,1217,0.051428571,0.051858254,Medium,Stable,170,,13,12236718.08,15552.07435
27,53033011001,110.01,Census Tract 110.01,South Beacon Hill/NewHolly,3.4,2001,0,0,0,0,,,0,,0,11629041.07,16287.35531
28,53033010800,108,Census Tract 108,Riverview,2.3,2001,0,0,0,0,,,0,,0,44087445.22,39019.3475
29,53033000800,8,Census Tract 8,Cedar Park/Meadowbrook,8.3,2001,0,0,0,0,,,0,,0,12290810.02,15312.08746
30,53033003400,34,Census Tract 34,Greenwood/Phinney Ridge,9.3,2001,1.14,704,0.055555556,0.053892216,Low,Stable,93,,9,8472471.715,12629.32293
31,53033005306,53.06,Census Tract 53.06,University District,7.2,2001,1.87,1038,0.050561798,0.051671733,Medium,Stable,435,,16,2157906.058,5954.872623
32,53033004302,43.02,Census Tract 43.02,Ravenna/Bryant,7.3,2001,2.22,1353,0.052132701,0.052099533,High,Stable,981,,60,3564115.67,7987.274419
33,53033002400,24,Census Tract 24,Wedgwood/View Ridge,7.4,2001,0,0,0,0,,,0,,0,10359919.78,13151.71252
34,53033004102,41.02,Census Tract 41.02,Laurelhurst/Sand Point,7.5,2001,1.58,1124,0.053333333,0.052434457,Medium,Stable,224,,7,17933927.27,23350.80029
35,53033005600,56,Census Tract 56,Magnolia,12.1,2001,0,0,0,0,,,0,,0,32045056.14,29943.50553
36,53033006703,67.03,Census Tract 67.03,Queen Anne,12.3,2001,1.31,1026,0.048,0.051229508,Low,Stable,614,,36,6427171.884,10846.49304
37,53033006100,61,Census Tract 61,Montlake/Portage Bay,7.1,2001,2.16,1257,0.048543689,0.052763819,High,Stable,990,,80,11959193.74,21477.26483
38,53033005700,57,Census Tract 57,Magnolia,12.1,2001,1.52,1142,0.055555556,0.053505535,Medium,Stable,352,,28,53305584.43,44506.56554
39,53033005901,59.01,Census Tract 59.01,Queen Anne,12.3,2001,1.68,1082,0.018181818,0.024621212,Medium,Stable,389,,29,8449086.719,19075.29242
40,53033008401,84.01,Census Tract 84.01,Capitol Hill,6.2,2001,2.38,1521,0.053097345,0.05186722,High,Stable,783,,18,2700766.609,9275.818268
41,53033008300,83,Census Tract 83,First Hill,6.1,2001,1.91,1292,0.049450549,0.052117264,Medium,Stable,867,,12,2561276.498,8632.134894
42,53033007501,75.01,Census Tract 75.01,Capitol Hill,6.2,2001,2.06,1189,0.051020408,0.053144376,Medium,Stable,1454,,82,3210519.937,7219.623642
43,53033009702,97.02,Census Tract 97.02,West Seattle Junction/Genesee Hill,1.3,2001,1.71,1103,0.055555556,0.054493308,Medium,Stable,105,,7,23899907.43,28258.76257
44,53033008800,88,Census Tract 88,Central Area/Squire Park,5.3,2001,2.1,1329,0.05,0.052256532,High,Stable,230,,27,10210038.86,13202.52686
45,53033008500,85,Census Tract 85,First Hill,6.1,2001,2.35,1561,0.044444444,0.046948357,High,Stable,884,,18,4854121.319,9025.581615
46,53033026500,265,Census Tract 265,Highland Park,2.5,2001,0,0,0,0,,,0,,0,4617675.483,11234.96478
47,53033011601,116.01,Census Tract 116.01,Fauntleroy/Seaview,1.2,2001,1.05,731,0.05,0.053314121,Low,Stable,80,,6,16710842.89,20011.96599
48,53033011300,113,Census Tract 113,Highland Park,2.5,2001,1,811,0.052631579,0.04915912,Low,Stable,328,,16,37260682.97,27184.16139
49,53033011500,115,Census Tract 115,Roxhill/Westwood,2.4,2001,1.3,918,0.056910569,0.052752294,Low,Stable,250,,12,16558652.75,19887.30894
50,53033010601,106.01,Census Tract 106.01,Fauntleroy/Seaview,1.2,2001,1.71,1050,0.049079755,0.053159478,Medium,Stable,375,,24,11724162.32,14458.83704
51,53033001202,12.02,Census Tract 12.02,Northgate/Maple Leaf,8.1,2001,1.88,1382,0.056179775,0.051750381,High,Stable,422,,9,8841145.884,13324.99009
52,53033000102,1.02,Census Tract 1.02,Cedar Park/Meadowbrook,8.3,2001,1.6,1165,0.052631579,0.055253623,Medium,Stable,320,,13,15446821.48,19552.36233
53,53033004701,47.01,Census Tract 47.01,Ballard,10.4,2001,2,1388,0.052631579,0.051515152,High,Stable,624,,48,6036028.326,13539.04763
54,53033004500,45,Census Tract 45,Wallingford,11.2,2001,0,0,0,0,,,0,,0,7222109.888,11018.30209
55,53033002900,29,Census Tract 29,Greenwood/Phinney Ridge,9.3,2001,1.55,1109,0.054421769,0.051184834,Low,Stable,241,,23,10614791.11,13366.31967
56,53033004201,42.01,Census Tract 42.01,Ravenna/Bryant,7.3,2001,1.33,1187,0.055555556,0.053238687,Low,Stable,178,,10,13390664.27,18286.14392
57,53033007403,74.03,Census Tract 74.03,Capitol Hill,6.2,2001,2.01,1194,0.052356021,0.053839365,Medium,Stable,1007,,49,1276089.069,5227.495287
58,53033007002,70.02,Census Tract 70.02,Queen Anne,12.3,2001,1.95,1263,0.054054054,0.0525,Medium,Stable,1561,,76,4746869.846,9490.799057
59,53033005803,58.03,Census Tract 58.03,Interbay,12.2,2001,1.39,1000,0.045112782,0.043841336,Low,Stable,323,,29,8956173.425,17129.19881
60,53033005902,59.02,Census Tract 59.02,Queen Anne,12.3,2001,1.47,1129,0.057553957,0.054154995,Low,Stable,103,,10,11010649.89,15184.22057
61,53033004902,49.02,Census Tract 49.02,Fremont,11.1,2001,2,1172,0.052631579,0.053956835,Medium,Stable,733,,64,6448262.34,10801.73149
62,53033005801,58.01,Census Tract 58.01,Interbay,12.2,2001,1.48,1297,0.064748201,0.063986874,Medium,Stable,1036,,43,19618424.24,25500.01395
63,53033007406,74.06,Census Tract 74.06,Capitol Hill,6.2,2001,2,1042,0.052631579,0.051463169,Medium,Stable,1078,,41,1623443.827,6764.477241
64,53033007405,74.05,Census Tract 74.05,Capitol Hill,6.2,2001,2,1094,0.052631579,0.052935515,Medium,Stable,1203,,46,1418974.042,5012.79869
65,53033009701,97.01,Census Tract 97.01,Alki/Admiral,1.4,2001,1.48,1237,0.057142857,0.053662692,Medium,Stable,395,,35,19291172.12,29764.00034
66,53033009600,96,Census Tract 96,Alki/Admiral,1.4,2001,1.42,1152,0.051851852,0.051094891,Low,Stable,432,,32,19741501.65,20745.406
67,53033008700,87,Census Tract 87,Central Area/Squire Park,5.3,2001,1.86,1077,0.050847458,0.052785924,Medium,Stable,485,,39,7883013.17,11432.38421
68,53033011402,114.02,Census Tract 114.02,Roxhill/Westwood,2.4,2001,1.61,967,0.052287582,0.051086957,Low,Stable,405,,23,12779277.86,17351.05501
69,53033011200,112,Census Tract 112,South Park,3.1,2001,0.92,562,0.045454545,0.048507463,Low,Stable,175,,15,26463890.03,27002.33758
70,53033010900,109,Census Tract 109,Georgetown,3.2,2001,1.74,875,0.048192771,0.051682692,Low,Stable,137,,13,51677122.71,44978.75384
71,53033011002,110.02,Census Tract 110.02,South Beacon Hill/NewHolly,3.4,2001,0,0,0,0,,,0,,0,18508908.46,22511.12676
72,53033011102,111.02,Census Tract 111.02,Seward Park,4.3,2001,1.06,733,0.06,0.05316092,Low,Stable,450,,22,13970026.69,20411.17006
73,53033010702,107.02,Census Tract 107.02,High Point,2.2,2001,0,0,0,0,,,0,,0,8396926.793,14935.93024
74,53033001100,11,Census Tract 11,Olympic Hills/Victory Heights,8.2,2001,0.92,699,0.057471264,0.054298643,Low,Stable,188,,11,11416399.59,14159.12735
