Address,Type,Datetime,Latitude,Longitude
1333 Harbor Ave Sw,Illegal Burn,2025 Dec 31 11:59:00 PM,47.591918,-122.382656
101 Taylor Ave N,Auto Fire Alarm,2025 Dec 31 11:27:00 PM,47.618566,-122.346316
12517 33rd Ave Ne,Illegal Burn,2025 Dec 31 11:19:00 PM,47.719378,-122.292729
2021 7th Ave,Auto Fire Alarm,2025 Dec 31 11:11:00 PM,47.615345,-122.337941
2551 Thorndyke Ave W,Auto Fire Alarm,2025 Dec 31 11:04:00 PM,47.642154,-122.385152
Bagley Ave N / East Green Lake Dr N,Rubbish Fire,2025 Dec 31 10:55:00 PM,47.682628,-122.331584
Nb I5 At Convention Center,Car Fire Freeway,2025 Dec 31 10:04:00 PM,47.60875,-122.330754
3310 Ne 125th St,Auto Fire Alarm,2025 Dec 31 09:52:00 PM,47.719264,-122.292632
1240 NE 120TH ST,Auto Fire Alarm,2025 Dec 31 09:48:00 PM,47.715806,-122.315013
1240 Ne 127th St,Auto Fire Alarm,2025 Dec 31 09:32:00 PM,47.72124,-122.31503
110 Boren Ave N,Auto Fire Alarm,2025 Dec 31 09:06:00 PM,47.618632,-122.335875
S Henderson St / Martin Luther King Jr Way S,Illegal Burn,2025 Dec 31 08:43:00 PM,47.523246,-122.279209
1400 BOREN AVE,Dumpster Fire,2025 Dec 31 07:15:00 PM,47.612472,-122.328005
7930 Rainier Ave S,Auto Fire Alarm,2025 Dec 31 07:12:00 PM,47.530717,-122.269989
12th Ave S / S King St,Illegal Burn,2025 Dec 31 06:49:00 PM,47.598338,-122.317228
1001 E James Way,Auto Fire Alarm,2025 Dec 31 06:29:00 PM,47.607834,-122.319302
1920 4th Ave,Auto Fire Alarm,2025 Dec 31 06:25:00 PM,47.612443,-122.338984
GOLF DR S / S CHARLES ST,Rubbish Fire,2025 Dec 31 05:43:00 PM,47.594282,-122.316577
1020 Ne 63rd St,Rubbish Fire,2025 Dec 31 05:35:00 PM,47.674157,-122.317191
6th Ave S / S Spokane St,Illegal Burn,2025 Dec 31 05:13:00 PM,47.571408,-122.325986
305 HARRISON ST,Auto Fire Alarm,2025 Dec 31 05:04:00 PM,47.622089,-122.351371
705 Pike St,Auto Fire Alarm,2025 Dec 31 05:03:00 PM,47.61163,-122.333297
300 11TH AVE,Auto Fire Alarm,2025 Dec 31 04:53:00 PM,47.604358,-122.318105
22nd Ave S / S Jackson St,Rubbish Fire,2025 Dec 31 04:51:00 PM,47.599275,-122.303285
8408 Aurora Ave N,Illegal Burn,2025 Dec 31 04:48:00 PM,47.689888,-122.344518
300 11th Ave,Auto Fire Alarm,2025 Dec 31 04:33:00 PM,47.604358,-122.318105
5th Ave S / S King St,Rubbish Fire,2025 Dec 31 04:24:00 PM,47.598356,-122.327671
6901 MARTIN LUTHER KING JR WAY S,Auto Fire Alarm,2025 Dec 31 04:07:00 PM,47.540684,-122.283048
21st Ave E / E Thomas St,Illegal Burn,2025 Dec 31 03:55:00 PM,47.621388,-122.304719
Sb I5 To Albro,Fire Response Freeway,2025 Dec 31 03:18:00 PM,47.551689,-122.317047
NB I5 AT 75,Car Fire Freeway,2025 Dec 31 02:20:00 PM,47.682803,-122.321332
Golf Dr S / S Charles St,Illegal Burn,2025 Dec 31 12:27:00 PM,47.594282,-122.316577
509 1st Ave W,Auto Fire Alarm,2025 Dec 31 12:10:00 PM,47.623378,-122.358024
2020 S Jackson St,Auto Fire Alarm,2025 Dec 31 12:01:00 PM,47.599261,-122.305296
