"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"Hispanic or Latino/a/x","Male","Seattle Police Department","43","74.98","R","Active"
"White","Male","Construction and Inspections","60","61.69","R","Active"
"White","Male","Parks and Recreation Department","20","26.92","T","Active"
"White","Male","Seattle Center","58","51.12","R","Leave with Pay"
"Black or African American","Male","Parks and Recreation Department","61","52.18","R","Active"
"Asian","Male","Seattle Public Library","27","35.43","R","Active"
"White","Male","Seattle City Light","49","51.12","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Public Utilities","35","45.88","R","Active"
"White","Male","Seattle Center","57","52.18","R","Active"
"American Indian or Alaska Native","Male","Seattle Department of Transportation","35","46.53","R","Active"
"Two or More Races","Male","Parks and Recreation Department","38","33.98","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","36","74.12","R","Active"
"White","Female","Parks and Recreation Department","65","44.92","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Parks and Recreation Department","56","51.46","R","Active"
"Two or More Races","Male","Human Services","54","55.19","R","Active"
"White","Male","Parks and Recreation Department","23","38.72","T","Active"
"White","Male","Information Technology","59","77.98","R","Active"
"White","Male","Seattle Fire Department","62","84.77","R","Active"
"Black or African American","Female","Seattle Public Utilities","56","34.62","R","Active"
"Asian","Female","Seattle Public Utilities","56","62.40","R","Active"
"White","Male","Parks and Recreation Department","26","31.39","R","Active"
"Asian","Female","Seattle Fire Department","61","44.64","R","Active"
"White","Male","Finance and Administrative Service","57","55.56","R","Active"
"Not Specified","Female","Seattle Center","51","31.97","T","Active"
"White","Male","Seattle Police Department","39","57.31","R","Active"
"Black or African American","Female","Seattle Municipal Courts","37","43.20","R","Active"
"White","Female","Human Services","28","46.02","R","Active"
"Asian","Male","Parks and Recreation Department","18","26.92","T","Active"
"Not Specified","Female","Parks and Recreation Department","18","21.51","T","Active"
"White","Male","Parks and Recreation Department","18","26.92","T","Active"
"White","Male","Seattle Police Department","39","89.25","R","Active"
"Two or More Races","Male","Parks and Recreation Department","19","26.92","T","Active"
"White","Non-Specified","Community Safety and Communication Center","34","64.25","R","Active"
"Black or African American","Male","Seattle City Light","62","32.82","R","Active"
"Asian","Female","Seattle Public Library","51","47.24","R","Active"
"White","Male","Seattle Department of Transportation","39","107.13","R","Active"
"Asian","Female","Seattle Public Library","48","47.24","R","Leave with Pay"
"White","Male","Seattle Police Department","47","76.46","R","Active"
"White","Male","Finance and Administrative Service","44","31.35","R","Active"
"Asian","Male","Construction and Inspections","63","72.31","R","Active"
"White","Male","Construction and Inspections","47","92.36","R","Active"
"White","Male","Parks and Recreation Department","18","26.92","T","Active"
"Not Specified","Female","Law Department","30","53.18","R","Active"
"Not Specified","Female","Parks and Recreation Department","19","26.92","T","Active"
"American Indian or Alaska Native","Female","Seattle Public Utilities","53","35.58","R","Leave with Pay"
"Asian","Male","Education and Early Learning","34","62.90","R","Active"
"White","Male","Seattle Department of Transportation","42","87.31","R","Active"
"White","Male","Seattle City Light","53","77.36","R","Active"
"Black or African American","Male","Parks and Recreation Department","55","38.84","R","Active"
"Black or African American","Female","Seattle Public Utilities","23","47.39","T","Active"
"Hispanic or Latino/a/x","Female","Finance and Administrative Service","38","65.54","R","Active"
"Two or More Races","Male","Seattle Public Utilities","35","64.34","R","Active"
"White","Male","Seattle Center","43","45.05","T","Active"
"White","Female","Seattle Public Utilities","41","67.84","R","Active"
"Asian","Male","Information Technology","69","81.41","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","54","63.13","R","Active"
"Asian","Female","Seattle Public Utilities","50","38.85","R","Active"
"White","Male","Finance and Administrative Service","61","37.36","R","Active"
"Two or More Races","Female","Information Technology","33","65.54","R","Active"
"White","Female","Finance and Administrative Service","61","83.34","R","Leave with Pay"
"Two or More Races","Female","Seattle Public Library","63","41.29","R","Active"
"White","Male","Information Technology","51","85.43","R","Active"
"White","Female","Seattle Police Department","43","67.07","R","Active"
"Black or African American","Male","Seattle Public Utilities","32","51.24","T","Active"
"Two or More Races","Female","Seattle Public Utilities","37","84.08","R","Active"
"White","Male","Seattle Fire Department","40","55.06","R","Active"
"Asian","Male","Office of Economic Development and Special Events Office","40","81.70","R","Active"
"White","Male","Seattle City Light","46","69.56","R","Active"
"White","Female","Seattle Fire Department","56","43.41","R","Active"
"White","Male","Parks and Recreation Department","56","65.16","R","Active"
"Two or More Races","Female","Parks and Recreation Department","62","44.51","R","Active"
"White","Male","Seattle Fire Department","43","51.46","R","Active"
"Black or African American","Female","Seattle City Light","59","42.07","R","Active"
"White","Male","Seattle Fire Department","40","55.06","R","Active"
"White","Male","Seattle City Light","44","69.28","R","Active"
"White","Male","Seattle Police Department","50","55.16","R","Active"
"White","Female","Seattle Fire Department","34","51.46","R","Active"
"White","Male","Seattle Center","76","45.05","T","Active"
"White","Male","Seattle City Light","43","77.36","R","Active"
"Black or African American","Male","Parks and Recreation Department","40","37.39","R","Active"
"White","Female","Seattle City Light","55","44.94","R","Leave with Pay"
"White","Male","Seattle Police Department","49","131.41","R","Active"
"White","Female","Seattle Police Department","40","76.82","R","Active"
"Hispanic or Latino/a/x","Female","Legislative Department","56","82.97","R","Active"
"Not Specified","Female","Seattle City Light","66","41.44","R","Active"
"Asian","Male","Seattle Department of Transportation","30","60.07","R","Active"
"White","Male","Seattle Department of Transportation","44","41.56","R","Active"
"Hispanic or Latino/a/x","Male","Legislative Department","65","62.28","R","Active"
"Black or African American","Female","Education and Early Learning","51","55.19","R","Active"
"White","Female","Seattle Fire Department","25","36.89","R","Active"
"White","Female","Parks and Recreation Department","43","59.06","R","Active"
"White","Male","Finance and Administrative Service","66","32.47","R","Active"
"White","Male","Finance and Administrative Service","34","58.21","R","Active"
"White","Female","Seattle Public Library","33","35.72","R","Active"
"White","Male","Seattle Fire Department","39","59.18","R","Active"
"Asian","Male","Seattle Fire Department","41","62.54","R","Active"
"American Indian or Alaska Native","Male","Construction and Inspections","62","71.60","R","Active"
"White","Male","Seattle Department of Transportation","51","87.31","R","Active"
"Two or More Races","Male","Finance and Administrative Service","44","80.20","R","Active"
"Two or More Races","Male","Human Resources","59","86.65","R","Active"
"White","Female","Sustainability and Environment","39","65.54","R","Active"
"White","Male","Seattle Fire Department","56","72.50","R","Active"
"Asian","Female","Seattle City Light","64","58.83","R","Active"
"White","Male","Housing Office","35","53.14","R","Active"
"Black or African American","Female","Seattle Public Utilities","55","65.54","R","Active"
"Black or African American","Female","Parks and Recreation Department","33","25.90","T","Active"
"Black or African American","Female","Information Technology","60","65.54","R","Active"
"White","Female","Seattle Public Utilities","57","55.19","R","Active"
"White","Female","Seattle Municipal Courts","51","72.85","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","28","35.86","R","Active"
"Black or African American","Male","Seattle Department of Transportation","34","72.73","R","Active"
"White","Male","Community Safety and Communication Center","38","53.73","R","Active"
"White","Male","Seattle Police Department","27","52.10","R","Active"
"White","Male","Seattle Police Department","54","79.05","R","Active"
"Black or African American","Female","Information Technology","54","74.43","R","Active"
"White","Male","Seattle Department of Transportation","46","37.95","R","Active"
"Black or African American","Male","Parks and Recreation Department","26","37.95","R","Active"
"Two or More Races","Male","Parks and Recreation Department","28","34.82","R","Active"
"Asian","Female","Seattle City Light","47","72.73","R","Active"
"White","Male","Finance and Administrative Service","60","57.24","R","Active"
"White","Male","Seattle City Light","35","77.36","R","Active"
"Asian","Male","Information Technology","45","80.11","R","Active"
"White","Male","Information Technology","51","84.89","R","Active"
"White","Female","Seattle Public Utilities","70","79.53","R","Active"
"White","Male","Seattle Police Department","50","87.98","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","58","67.84","R","Active"
"White","Male","Law Department","37","79.71","R","Active"
"Asian","Female","Seattle Public Utilities","34","73.55","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","48","79.54","R","Active"
"White","Male","Seattle Police Department","55","68.98","R","Active"
"Asian","Female","Seattle City Light","46","65.54","R","Active"
"White","Male","Seattle Fire Department","47","60.95","R","Active"
"Asian","Female","Seattle Department of Transportation","52","79.21","R","Active"
"Not Specified","Male","Seattle City Light","47","77.36","R","Active"
"White","Female","Seattle Public Library","48","54.46","R","Leave with Pay"
"White","Female","Seattle Fire Department","48","62.54","R","Active"
"White","Male","Seattle Police Department","49","87.98","R","Active"
"Black or African American","Male","Seattle Police Department","53","150.43","R","Active"
"White","Male","Seattle City Light","40","92.07","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Public Utilities","45","38.66","R","Active"
"Asian","Male","Seattle Public Utilities","44","56.35","R","Active"
"White","Male","Construction and Inspections","69","84.08","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","69","87.98","R","Active"
"White","Female","Seattle Public Library","36","79.84","R","Leave Of Absence"
"White","Female","Parks and Recreation Department","24","39.94","R","Active"
"White","Female","Seattle Public Library","48","54.46","R","Leave with Pay"
"Black or African American","Female","Parks and Recreation Department","46","53.14","R","Active"
"White","Female","Human Services","62","73.38","R","Active"
"Two or More Races","Male","Seattle Department of Transportation","43","62.40","R","Active"
"White","Male","Seattle Fire Department","31","55.06","R","Active"
"White","Male","Seattle City Light","34","77.36","R","Active"
"Black or African American","Female","Education and Early Learning","43","44.21","R","Active"
"Asian","Male","City Budget Office","34","69.29","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","64","74.86","R","Active"
"White","Male","Construction and Inspections","62","69.58","R","Active"
"Two or More Races","Male","Seattle Police Department","31","67.15","R","Active"
"White","Male","Seattle Fire Department","48","71.27","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","54","61.52","R","Leave with Pay"
"Hispanic or Latino/a/x","Female","Housing Office","27","47.39","R","Active"
"Asian","Male","Parks and Recreation Department","53","42.22","R","Active"
